extractor,dimension,group_value,n,mean_delta,headroom_ci_lower,headroom_ci_upper,n_win,n_tie,n_loss
balance_score,by_dataset,fiqa,60,-0.00016197457598441194,-0.0004203787252435235,0.0,0,58,2
balance_score,by_provider,azure,24,0.0,0.0,0.0,0,24,0
balance_score,by_provider,gemini,24,0.0,0.0,0.0,0,24,0
balance_score,by_provider,cohere,24,0.0,0.0,0.0,0,24,0
balance_score,by_provider,fireworks,24,0.0,0.0,0.0,0,24,0
balance_score,by_provider,aggregate,24,0.0011940229402250674,-0.0008870843063345282,0.004633015633784011,1,21,2
balance_score,by_pool_size,6,30,0.0,0.0,0.0,0,30,0
balance_score,by_pool_size,8,60,-0.00016197457598441194,-0.0004203787252435235,0.0,0,58,2
balance_score,by_pool_size,10,30,0.0012791675041488777,0.0,0.0038375025124466333,1,29,0
balance_score,by_cyclicity,acyclic,76,0.0,0.0,0.0,0,76,0
balance_score,by_cyclicity,cyclic,44,0.000651285240122764,-0.0004838641670915608,0.0026164789857590683,1,41,2
hodge_rank,by_dataset,scidocs,60,0.007620947384003067,0.00366421290905407,0.012366548185120637,18,42,0
hodge_rank,by_dataset,fiqa,60,0.0005277912637778936,-0.00033638742723168417,0.0013867321971374072,11,45,4
hodge_rank,by_provider,azure,24,0.0025398259317078037,7.070517256609991e-05,0.005371283684389083,5,17,2
hodge_rank,by_provider,gemini,24,0.004755649261693677,0.0015723123310982245,0.00902349474046014,9,15,0
hodge_rank,by_provider,cohere,24,0.0026946648705496365,-0.0013036421673085867,0.009083559599798998,3,19,2
hodge_rank,by_provider,fireworks,24,0.005568100764837797,0.0012384315681624432,0.012252526477630801,8,16,0
hodge_rank,by_provider,aggregate,24,0.004813605790663487,0.00017499588276752298,0.01246835788228188,4,20,0
hodge_rank,by_pool_size,6,30,0.0,0.0,0.0,0,30,0
hodge_rank,by_pool_size,8,60,0.003027891080447285,0.0014527448347559531,0.004653520067383568,20,36,4
hodge_rank,by_pool_size,10,30,0.01024169513466735,0.002958873895529328,0.019293417108602124,9,21,0
hodge_rank,by_cyclicity,acyclic,76,0.0028279712973462785,0.0010139548254444741,0.005251462009229566,19,53,4
hodge_rank,by_cyclicity,cyclic,44,0.006227238642466828,0.0018075987970559589,0.011824766820873807,10,34,0
fas_balance_prior_fusion,by_dataset,scidocs,60,0.0009035174096792165,-0.0003087024493670405,0.002330542413030534,4,53,3
fas_balance_prior_fusion,by_dataset,fiqa,60,0.0005908721226475288,0.00017921325092327874,0.0010921376198334183,6,54,0
fas_balance_prior_fusion,by_provider,azure,24,0.0010193055608467376,-0.00011999402307839395,0.00290528526933323,2,21,1
fas_balance_prior_fusion,by_provider,gemini,24,0.0013312383979114755,-0.001014589463876281,0.0041080944722937714,4,19,1
fas_balance_prior_fusion,by_provider,cohere,24,0.00022401656365409842,0.0,0.0006720496909622953,1,23,0
fas_balance_prior_fusion,by_provider,fireworks,24,0.001161413308404552,-5.9997011539201596e-05,0.002965282280872422,3,20,1
fas_balance_prior_fusion,by_provider,aggregate,24,0.0,0.0,0.0,0,24,0
fas_balance_prior_fusion,by_pool_size,6,30,0.0,0.0,0.0,0,30,0
fas_balance_prior_fusion,by_pool_size,8,60,0.0017901083470641807,0.0006965936099181798,0.003158232025992287,10,50,0
fas_balance_prior_fusion,by_pool_size,10,30,-0.0005914376294748706,-0.0016303200607305354,0.0,0,27,3
fas_balance_prior_fusion,by_cyclicity,acyclic,76,0.0013181683967161582,0.0004632507732874326,0.0024086727166244947,9,66,1
fas_balance_prior_fusion,by_cyclicity,cyclic,44,-0.00023903241388234772,-0.0010461305742735087,0.00032903333262646555,1,41,2
hybrid_rrf_prior_fusion,by_dataset,scidocs,60,0.00027194868664537353,-0.0016878757090504383,0.0023130864825024245,7,44,9
hybrid_rrf_prior_fusion,by_dataset,fiqa,60,0.0007529828411516578,0.0002199218288481945,0.0013350672950527152,9,50,1
