n_items,noise,weight_scheme,borda,exact_fas_alpha_beta,exact_fas_hybrid_rrf,exact_fas_weighted_balance,greedy_fas_alpha_beta,greedy_fas_weighted_balance,hybrid_rrf_fas_regularized,score_sum,best_greedy_tau,best_exact_tau,exact_minus_greedy,exact_minus_score_sum,exact_minus_borda,greedy_minus_score_sum,greedy_minus_borda,exact_objective,greedy_objective,objective_gap_pct
6,0.05,margin,0.7333333333333333,0.7777777777777777,0.7777777777777777,0.7333333333333334,0.7777777777777777,0.7333333333333334,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.7777777777777777,0.0,0.0,0.0444444444444444,0.0,0.0444444444444444,0.18418914309800463,0.2289615113217234,24.307821552704645
6,0.05,uniform,0.7333333333333333,0.6888888888888888,0.6888888888888888,0.5555555555555555,0.6888888888888888,0.6888888888888888,0.6888888888888888,0.7333333333333333,0.6888888888888888,0.6888888888888888,0.0,-0.04444444444444451,-0.04444444444444451,-0.04444444444444451,-0.04444444444444451,1.6666666666666667,2.0,19.999999999999996
6,0.2,margin,0.2888888888888889,0.24444444444444444,0.3333333333333333,0.15555555555555556,0.19999999999999998,0.11111111111111112,0.2888888888888889,0.3333333333333333,0.2888888888888889,0.3333333333333333,0.0444444444444444,0.0,0.0444444444444444,-0.0444444444444444,0.0,0.38274260751972305,0.41514020357536235,8.46459093373079
6,0.2,uniform,0.2888888888888889,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.24444444444444446,0.2888888888888889,0.24444444444444446,0.2888888888888889,0.2888888888888889,0.24444444444444446,-0.04444444444444445,-0.04444444444444445,-0.04444444444444445,0.0,0.0,1.6666666666666667,5.0,199.99999999999997
6,0.3,margin,-0.022222222222222216,0.24444444444444444,0.28888888888888886,0.022222222222222216,0.24444444444444444,-0.022222222222222216,0.28888888888888886,0.28888888888888886,0.28888888888888886,0.28888888888888886,0.0,0.0,0.31111111111111106,0.0,0.31111111111111106,0.11471934618843378,0.1779867172615805,55.14969634609498
6,0.3,uniform,-0.022222222222222216,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.11111111111111112,0.19999999999999998,0.06666666666666667,-0.022222222222222216,0.19999999999999998,0.06666666666666667,-0.1333333333333333,0.08888888888888888,0.08888888888888888,0.2222222222222222,0.2222222222222222,1.0,5.666666666666667,466.6666666666667
8,0.05,margin,0.8333333333333334,0.8571428571428572,0.8571428571428572,0.8095238095238094,0.8095238095238096,0.7380952380952381,0.8571428571428572,0.8809523809523809,0.8571428571428572,0.8571428571428572,0.0,-0.023809523809523725,0.023809523809523836,-0.023809523809523725,0.023809523809523836,0.7332797959522867,0.8923093501067222,21.687431595999318
8,0.05,uniform,0.8333333333333334,0.9047619047619048,0.9047619047619048,0.9285714285714285,0.8095238095238094,0.7380952380952381,0.8095238095238094,0.8333333333333334,0.8095238095238094,0.9285714285714285,0.11904761904761907,0.09523809523809512,0.09523809523809512,-0.023809523809523947,-0.023809523809523947,2.0,3.3333333333333335,66.66666666666667
8,0.2,margin,0.2857142857142857,0.35714285714285715,0.3333333333333333,0.2619047619047619,0.30952380952380953,0.2380952380952381,0.3571428571428572,0.35714285714285715,0.3571428571428572,0.35714285714285715,-5.551115123125783e-17,0.0,0.07142857142857145,5.551115123125783e-17,0.07142857142857151,1.1248931369500443,1.8670012222193466,65.97142972010671
8,0.2,uniform,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.3095238095238095,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.35714285714285715,0.023809523809523836,0.07142857142857145,0.07142857142857145,0.047619047619047616,0.047619047619047616,4.0,9.666666666666666,141.66666666666666
8,0.3,margin,0.11904761904761905,0.09523809523809523,0.14285714285714288,0.09523809523809523,0.16666666666666666,0.047619047619047616,0.19047619047619047,0.21428571428571427,0.19047619047619047,0.14285714285714288,-0.04761904761904759,-0.0714285714285714,0.023809523809523822,-0.023809523809523808,0.07142857142857141,1.5233112894541447,2.072942020172926,36.081314077028395
8,0.3,uniform,0.11904761904761905,0.14285714285714288,0.14285714285714288,0.11904761904761903,0.14285714285714285,0.14285714285714285,0.11904761904761903,0.11904761904761905,0.14285714285714285,0.14285714285714288,2.7755575615628914e-17,0.023809523809523822,0.023809523809523822,0.023809523809523794,0.023809523809523794,5.333333333333333,11.0,106.25000000000001
