method,order,query_id,split,stop_step,budget_frac,stopped,ndcg,ndcg_vs_bm25,ndcg_vs_exhaustive,topk_overlap_vs_exhaustive,exact_topk_match,severe_harm,premature_stop_qrel_label,premature_instability_qrelfree
fixed_0.10,random,4d4dc6568e24f283f3c5bcb88f280908a35da0e3,dev,10,0.09523809523809523,True,0.9068250379649666,0.1539770943804789,-0.09317496203503339,0.6666666666666666,False,False,True,True
fixed_0.20,random,4d4dc6568e24f283f3c5bcb88f280908a35da0e3,dev,21,0.2,True,0.9192613539759861,0.16641341039149837,-0.08073864602401393,0.6666666666666666,False,False,True,True
exhaustive,random,4d4dc6568e24f283f3c5bcb88f280908a35da0e3,dev,105,1.0,True,1.0,0.2471520564155123,0.0,1.0,True,False,False,False
counterfactual_primary,random,4ec90b7da43e6438cbdc756624b1083f30288064,dev,44,0.41904761904761906,True,0.7923583684378549,0.24816574496561794,0.14967024946594076,0.6666666666666666,False,False,False,True
counterfactual_conservative,random,4ec90b7da43e6438cbdc756624b1083f30288064,dev,57,0.5428571428571428,True,0.713772726109045,0.169580102636808,0.07108460713713083,0.8181818181818182,False,False,False,True
counterfactual_aggressive,random,4ec90b7da43e6438cbdc756624b1083f30288064,dev,31,0.29523809523809524,True,0.6794558102761333,0.13526318680389637,0.0367676913042192,0.6666666666666666,False,False,False,True
simple_recent_stability,random,4ec90b7da43e6438cbdc756624b1083f30288064,dev,16,0.1523809523809524,True,0.5684045686173149,0.024211945145077962,-0.07428355035459921,0.6666666666666666,False,False,True,True
fixed_0.05,random,4ec90b7da43e6438cbdc756624b1083f30288064,dev,5,0.047619047619047616,True,0.4599715079731103,-0.08422111549912664,-0.18271661099880382,0.5384615384615384,False,True,True,True
fixed_0.10,random,4ec90b7da43e6438cbdc756624b1083f30288064,dev,10,0.09523809523809523,True,0.562068903096022,0.01787627962378502,-0.08061921587589216,0.6666666666666666,False,False,True,True
fixed_0.20,random,4ec90b7da43e6438cbdc756624b1083f30288064,dev,21,0.2,True,0.6753977009845787,0.13120507751234178,0.032709582012664606,0.6666666666666666,False,False,False,True
